Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01,tBid100,tBid30,tBid10,tBid3
65,10423,1659,8420,8524,8692,8843,9336,9993,9981,10085,10242,8413,10814,10821,10940,10716,10346,9891,11148,10586,10104,10723,10312,10258
70,11067,1661,8453,8674,9436,9154,9330,10151,9936,10100,10286,8465,9857,10480,10715,10803,10414,9942,11350,10665,10240,10738,10418,10180
75,10207,1654,8634,9066,8938,9185,9322,10075,9935,10172,10268,8541,11337,10478,10951,10869,10471,10136,11110,10692,10302,10837,10357,10937
80,11060,1638,8548,8878,8994,9245,9384,10133,9867,10071,10522,8562,11920,10254,11228,11099,10452,10117,10318,10637,10244,10842,10281,10325
85,10919,1640,8779,9073,8953,9285,9694,10228,10027,10151,10477,8740,11772,10291,11213,10958,10622,10228,10469,10734,10303,11156,10415,10192
90,11073,1632,8712,9451,9103,9092,9509,10197,9970,10138,10431,8759,11959,10327,12337,11077,10532,10182,11737,10736,10266,11105,10363,10165
95,11637,1636,8826,9291,9146,9354,9599,10311,9910,10199,10546,8777,12191,10337,11114,11010,10644,10252,10657,10783,10333,12096,10368,10824
100,11292,1632,8837,9344,9416,9239,9581,10256,9896,10184,10903,9824,13228,10394,10884,10896,10468,10212,12122,10849,10321,10806,10306,10467
105,11351,1635,8924,9824,9394,9583,9613,10269,10034,10236,11781,8880,16897,10863,10900,10938,10575,10181,12217,10797,10240,10736,10429,10790
110,10983,1636,9298,9193,9232,9482,9682,10218,9943,10225,11891,9028,13781,10345,11649,10936,10451,10364,11869,10876,10289,12822,10403,10757
115,11208,1643,8877,9233,9449,9524,9609,10235,9978,10259,11889,8939,13877,10773,11854,10795,10448,10105,12189,10816,10227,12673,10305,10545
120,11707,1642,9068,9429,9481,9540,9646,10208,9986,10237,11946,9687,13942,11385,12107,10837,10473,10151,12054,10836,10211,12269,10291,10179
125,11332,1637,9133,9227,9494,9719,9643,10244,9946,10241,11696,8927,14004,10383,12641,10795,10425,10178,11729,10879,10202,12579,10237,10253
130,11706,1638,9134,9322,9511,9779,9529,10427,9926,10337,11895,8975,13996,10556,11740,10819,10434,10106,11421,10939,10242,10726,10194,10627
135,11771,1634,9075,9356,9573,9806,9549,10457,9878,10235,11704,9025,14164,10701,11080,10820,10444,10146,11903,10935,10153,10669,10224,11127
140,10937,1633,9174,9324,9664,9639,9516,10283,9919,10322,11053,9020,14411,11199,13804,11734,10413,10123,11839,10926,10195,10638,10212,10104
145,9873,1647,8972,9345,9596,9693,9539,10604,10346,10274,11046,8971,14421,10411,12165,10965,10489,10209,11706,10943,10193,10676,10181,9992
150,11150,1622,8918,9483,9589,9287,9528,10454,10306,10231,10389,8960,14462,10688,13277,10961,10545,10017,11616,10942,10128,10607,10054,9837
155,9133,1574,9584,9441,9578,9514,9669,10354,10424,10238,10899,8978,14474,11070,11131,10877,10437,10148,11617,10971,10145,10570,9915,10186
160,9870,1571,9062,9369,9570,10293,9481,10290,10336,10162,10340,8981,14480,10753,13901,10792,10522,9959,11522,10987,10084,10535,9977,9809
165,10055,1415,9182,9329,9730,9358,9458,10458,10227,10209,10550,8952,14417,10649,12752,10749,10397,10064,12908,10953,10170,10546,9859,9760
170,8999,1555,9033,9381,9553,9393,9433,10318,10272,10162,10462,8917,14359,10614,11795,10733,10371,9939,12211,10952,10148,10439,9844,9665
175,8423,1641,8447,9407,9735,9416,9330,10251,10199,10164,10231,8875,14368,10631,11880,10638,10346,9898,12000,10880,10071,10410,9727,9586
180,7442,1545,8004,9269,9579,9601,9304,10204,10167,10125,10485,8846,14257,10633,15049,10681,10312,9899,11687,10898,10126,10383,9887,9558
0,2284,1508,2264,2229,2228,2313,2254,2335,2225,2297,2350,2163,2254,2303,2319,2258,2243,2254,2278,2306,2223,2291,2294,2308
5,3128,1454,2883,2878,2874,3058,2923,3013,3029,3001,3079,2680,2947,3042,3011,3169,2951,2982,2952,3160,2977,3166,3126,3231
10,4386,1512,3721,3790,3674,3978,3840,4004,4025,3952,4045,3290,3703,3917,3977,4192,4038,3929,3881,4215,3858,4208,4244,4497
15,5721,1568,4654,4715,4631,4988,4882,5083,5069,5063,5243,4027,4682,4921,4963,5415,5040,5027,5007,5337,4928,5415,5558,5723
20,6852,1620,5604,5653,5548,6024,5896,6131,6268,6144,6374,4804,5690,5992,6060,6734,6114,6135,6048,6506,6014,6596,6705,6777
25,7733,1651,6414,6505,6276,6862,6770,6998,7143,7015,7448,5465,6477,7014,7207,7706,7179,7031,6963,7482,6956,7575,7724,7805
30,8532,1680,6977,7099,6948,7611,7291,7634,7845,7673,8159,6222,7200,7688,7987,8652,7755,7798,7672,8225,7641,8355,8565,8300
35,9113,1671,7576,7515,7370,8136,7826,8059,8502,8489,8732,6538,7635,8142,8452,9225,8549,8374,8086,8784,8039,8903,9152,8950
40,9484,1666,7870,7720,7685,8453,8266,8619,8954,8977,9376,7241,7960,8560,9158,9727,8921,8796,8505,9390,8646,9400,9591,9780
45,9725,1661,8135,8124,7908,8729,8618,8795,9198,9281,9451,7667,8283,8966,9373,10048,9172,9096,8944,9566,9089,9824,9848,10669
50,9933,1678,8361,8187,8069,9014,8724,9114,9477,8968,9767,7937,8384,9259,9962,10319,9913,9267,9149,9887,8926,9962,10026,11107
55,10231,1668,8472,8223,8268,9105,8877,9259,9557,9545,9775,7682,8518,9505,9922,10421,10093,9461,9381,9950,9198,10008,10249,10949
60,10391,1668,8598,8398,8533,9269,9058,9341,9782,9359,10043,7850,8828,9544,9932,10580,10246,9776,9386,10109,9666,10113,10498,10950
65,10606,1664,8683,8432,8559,9413,9117,9439,9887,9526,10074,7800,8809,9727,10508,10940,10282,9775,9572,10269,9505,10307,10449,11033
70,10751,1673,8789,8664,8827,9550,9230,9543,9907,9521,10161,9890,8843,9784,10854,10903,10393,10022,9542,10286,9556,10379,10399,11047
75,10674,1667,8782,8744,8840,9967,9319,9676,10092,10559,10581,9822,8968,9937,10840,11181,10255,9970,9509,10475,9561,10383,10517,10960
80,10772,1674,8768,8818,9003,9724,9372,9556,10125,10987,10200,9598,8969,9864,10738,11219,10432,10162,9656,10388,9962,10386,10423,10987
85,10877,1651,8821,8913,9008,9792,9396,9673,10051,10766,10741,9929,9001,9914,10566,11252,10059,10281,9639,10645,9962,10382,10476,10770
90,10809,1656,8918,9187,9077,9879,9436,9714,10240,11297,10761,8907,9093,10375,10584,11341,10253,10304,9710,10632,10243,10429,10808,10817
95,10861,1655,8914,9264,9180,10006,9489,9743,10140,11203,10283,9306,9233,10029,10599,11382,10146,10351,9438,10598,9730,10486,10538,10731
100,10973,1653,8938,9188,9228,10144,9504,9801,10203,10930,10304,11625,9354,9986,10359,11273,11055,10296,9753,10643,9797,10546,10414,10864
105,10834,1649,8950,9363,9233,9970,9564,9817,10215,10972,12039,10912,9275,10038,10645,11236,10902,10519,9836,10839,9761,10470,10531,10621
110,11246,1645,8985,9120,9335,10033,9561,9798,10237,11106,11876,10415,9290,10087,10550,11276,10869,10337,9576,10550,9744,10552,10416,10457
115,11230,1650,8959,9202,9234,10151,9812,9844,10223,10603,10313,11012,9841,10183,10883,11722,10012,10755,9627,10666,10151,10438,10479,9727
120,11225,1650,9021,9081,9404,10161,9547,9839,10321,11071,10434,11382,11618,10186,10784,11250,10939,10570,9643,11469,9758,10524,10408,9747
125,11247,1676,9550,9210,9473,10220,9893,9978,10240,11484,11378,11580,12441,10277,10876,11280,9992,10590,9729,10582,10045,10432,10395,9445
130,11141,1639,9647,8948,9579,10782,9561,9891,10261,11701,12185,11120,13323,10293,10737,11366,10032,10350,9748,10853,9667,10362,10397,8941
135,11101,1632,9034,9574,9484,10311,9503,9935,10431,11688,12307,11485,13419,10268,11788,11386,10055,10919,9715,10619,9648,10348,10439,9290
140,11075,1663,8966,9225,9617,10507,9480,9823,10727,11701,12505,10928,14279,10304,11243,12684,10757,10776,9724,11584,9601,10309,10519,8763
145,11143,1644,8979,9261,9691,10833,9507,9813,10958,13488,12085,10759,13755,10517,11604,11533,10003,10693,9816,10523,9600,10307,10408,8792
150,10988,1684,8971,9656,9534,10397,9523,9911,10203,14411,12449,10648,13257,10708,11675,11333,10288,10606,9661,10534,9575,10264,10445,8782
155,10848,1669,9603,9290,9710,10642,9921,9794,10213,13079,12603,11057,14026,10343,11690,11954,10242,10633,9657,10502,9548,10242,10560,8861
160,10068,1644,9580,9638,9566,10787,9864,9766,10144,13305,12739,11731,12599,10555,11679,11278,10027,10589,9628,10481,9477,10230,10443,8484
165,9844,1659,8980,9709,10968,10399,9889,9791,10098,10717,12381,10888,12393,10376,11600,11299,11464,10566,9643,10428,9412,10171,10368,8098
170,9171,1640,8829,9640,12404,10371,9835,9775,10161,14239,12252,11217,12266,10514,11159,11298,10478,10653,9668,10441,9402,10126,10393,8227
175,8161,1685,9634,9570,11178,10794,9602,9730,10060,14242,11976,11128,12107,10601,11426,11253,9901,10663,9620,10421,9338,10068,10351,7865
180,7479,1699,9764,9480,10672,10818,9814,9678,10104,13002,11963,11262,12881,10429,11361,11476,9994,10603,9612,10411,9326,10112,10286,7682
0,,1432,2231,2289,2176,2273,2297,2341,2330,2229,2241,2164,2215,2287,2266,2245,2267,2269,2185,2253,2350,2260,2308,2307
5,,1405,2779,2889,2809,2896,3004,3080,3132,2971,2955,2737,2934,2867,3121,2951,3145,2990,2962,2990,3142,3091,3090,3128
10,,1488,3576,3732,3628,3732,3848,4052,4070,4020,3885,3430,3733,3800,4163,3957,4100,3893,3912,3871,4212,4137,4277,4214
15,,1554,4394,4659,4522,4628,4833,5055,5120,5138,4822,4195,4657,4810,5276,5107,5151,5071,4994,4995,5342,5223,5328,5534
20,,1606,5254,5694,5419,5596,5645,6191,6111,6093,5877,5015,5621,5780,6382,6080,6362,5970,6051,6129,6439,6344,6423,6517
25,,1632,5963,6315,6082,6417,6344,7043,7059,7011,6744,5883,6381,6607,7338,6982,7200,6940,6775,6985,7427,7244,7356,7491
30,,1647,6516,7122,6695,7080,6841,7895,7655,7520,7346,6539,7055,7320,8172,7809,8072,7555,7756,7612,8240,7958,8073,8185
35,,1653,6848,7410,7244,7494,7199,8396,8207,8168,7819,6867,7486,7700,8785,8314,8636,8151,8031,8154,8968,8589,8769,8929
40,,1655,7259,7715,7512,7896,7587,8794,8654,8406,8251,7224,7844,8132,9258,8808,9166,8528,8381,8614,9410,9146,9053,9180
45,,1651,7467,8035,7795,8140,7687,9134,8949,9165,8704,7412,8158,8977,9641,9104,9473,8781,9415,9030,9677,9073,9406,9365
50,,1665,7678,8140,7868,8329,7781,9477,9099,9196,8710,7673,8238,8868,9853,9280,9876,9400,9077,9148,10105,9645,9494,9512
55,,1685,7814,8442,8079,8457,8020,9665,9309,9252,8713,8019,8484,9887,10017,9559,10037,9563,9131,9533,10227,9491,9687,9684
60,,1656,7935,8466,8313,8558,7985,9900,9376,9460,9061,7938,8693,8975,10188,9644,10266,9585,9257,9763,10399,10024,9831,9692
65,,1683,7973,8637,8317,8754,8000,9752,9497,9565,9290,8014,8881,9489,10269,9660,10360,9724,9747,9757,10518,9596,10021,9694
70,,1673,8054,8922,8342,8783,8070,9764,9555,10002,9580,8405,10070,10118,10377,9683,10464,9830,9771,10166,10514,10252,10042,9783
75,,1697,8156,8836,8479,8769,8189,9769,9644,9667,9544,8407,9948,10777,10815,9757,10583,9863,9939,9978,10611,10499,10304,9729
80,,1688,8392,9117,8598,8977,8184,9962,9660,9954,9704,8278,10080,9300,11125,9731,10506,10012,9570,10301,10635,9804,10755,9779
85,,1729,8473,9271,8651,9099,8181,10009,9838,9868,9714,8556,10049,9410,10585,9890,10526,10230,10254,9839,10680,9910,10291,9988
90,,1759,8195,8989,8921,9057,8339,9993,9832,9934,9856,8431,9958,9582,10505,9918,10770,10046,10016,10165,10652,10057,10368,10066
95,,1738,8496,9105,8778,9381,8287,10025,9895,10586,9473,8869,9774,9534,10645,9898,10572,10085,9460,10188,10676,10612,10450,9949
100,,1697,8669,9096,8771,9138,8291,10040,9887,10589,9836,8457,9813,10325,10922,9752,10621,10093,9887,9962,10640,9873,10169,9962
105,,1693,8455,9145,8868,9392,8368,10539,9923,10027,10577,8697,9652,9572,11063,9815,10677,10199,10655,10192,10648,9869,10146,9888
110,,1721,8775,9202,8961,9438,8388,10186,10018,10420,9779,11080,9939,9607,11183,9887,10620,10214,10470,10727,10583,10558,10132,9823
115,,1733,8545,9507,8968,9407,8453,10075,9987,10202,10069,10658,9880,9713,11397,9880,10680,10594,10247,9790,10503,9960,10291,9766
120,,1680,8606,9250,8982,9741,8431,10369,10030,10111,9984,10816,9866,9706,10739,9866,10663,10204,11075,10237,10433,9883,10148,9794
125,,1702,8574,9465,8982,9345,8471,10630,9994,10110,9931,10816,9978,9699,11309,9809,10672,10273,11044,10073,10360,9892,10123,9818
130,,1730,8597,9338,9139,9613,8410,10215,10061,10218,10080,11959,9931,9704,11144,9706,10665,10231,11046,9846,10444,9865,10133,9815
135,,1676,8596,9397,9094,9834,8539,10539,10171,11082,9957,8645,10923,9764,11347,9799,10681,10314,10137,10345,10395,9883,10320,9768
140,,1676,8581,9374,9074,9652,8529,10255,10124,11032,9962,10953,10415,10501,11422,9705,10646,10240,10492,10306,10395,9880,10327,9776
145,,1706,8704,9416,9245,9755,8562,10131,10212,10198,9966,10876,10503,10424,11026,9876,10685,10233,10166,10105,10344,9850,10121,9813
150,,1675,8606,9487,9171,9558,8530,10568,10154,9911,10018,10691,10540,9736,11131,9842,10679,10186,9867,10399,10404,9868,10156,9804
155,,1632,8797,9502,9169,9819,8570,10381,10184,9907,10003,10786,10674,9717,11143,9633,10609,10160,10697,9851,10291,9887,10078,9741
160,,1631,8751,9458,9134,9403,8607,10756,10108,10583,10038,10741,10727,10950,11143,9590,10677,10134,10538,10305,10250,9840,10077,9716
165,,1709,8756,9477,9101,9840,8549,10516,10163,10689,10174,11692,10975,9926,12336,9580,10565,10322,11207,10278,10073,9744,10021,9745
170,,1654,8742,9419,9109,9636,8622,10130,10156,10686,10222,8635,10942,9982,11595,9816,10567,10180,11165,10180,10135,9728,10064,9717
175,,1704,8964,9472,9150,9610,8582,10149,10089,10673,10084,8489,10782,10056,11138,9667,10504,10131,11084,10186,10127,9710,10187,9687
180,,1706,6897,9380,9169,9176,8593,10139,10109,10228,10176,8516,10749,10153,11085,9960,10463,10122,11159,9997,10068,9597,9939,8640
