Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01,tBid100,tBid30,tBid10,tBid3
125,,1417,1470,1437,,3258,6803,8342,8112,10055,11775,1838,2079,3774,8875,9632,10990,8166,12313,11848,1952,2459,3128,5600
130,,1512,1369,1456,,3125,6588,8405,8767,9837,9926,1824,2054,3424,8789,9848,10937,8152,12766,12000,1951,2502,3045,5432
135,,1358,1344,1518,,3125,5661,8580,8767,9752,9911,1761,2016,3337,8783,9662,10768,7757,12669,11855,1924,2380,2982,4630
140,,1330,1430,1418,,3040,5526,8196,8046,9598,11789,1744,2078,3208,8435,9453,10704,7881,12158,11460,1918,2436,2923,4560
145,,1314,1273,1415,,2950,5474,8290,8026,9485,9769,1694,1983,3202,8656,9312,10581,7578,12025,11490,1889,2296,2846,4637
150,,1328,1287,1588,,2923,5233,8248,7941,9412,11027,1672,1970,3143,8167,9187,10500,7473,11470,11307,1887,2385,2784,4298
155,,1316,1256,1346,,2756,5246,7763,7729,9321,9557,1649,1938,3138,8539,9072,10356,7406,11047,10981,1866,2275,2752,4165
160,,1304,1197,1326,,2670,5206,8014,7269,9262,10668,1646,1906,2944,8257,8898,10278,6958,10957,11187,1864,2308,2686,4537
165,,1198,1201,1297,,2848,5017,7823,7535,9071,10874,1634,1893,2927,8253,8822,10170,7358,10797,10938,1836,2199,2643,3958
170,,1287,1136,1290,,2809,5508,7675,7594,8975,10639,1617,1884,2952,8548,8820,10044,7323,10777,10674,1833,2258,2610,4151
175,,1252,1162,1280,,2422,4970,7558,7435,9004,9299,1608,1858,2725,9039,8650,9926,7426,10586,10447,1895,2134,2561,4004
180,,1205,1165,1288,,2339,5078,8765,7390,8880,9046,1591,1838,2793,7890,8392,9782,6988,10290,10613,1877,2167,2534,3939
0,,1419,2313,2548,,2810,2865,2897,2862,2796,2812,2776,2854,2892,3005,3039,2818,2765,3011,2827,2943,2996,3070,3031
