Time Point,DMSO,FCCP,Bim100,Bim30,Bim10,Bim3,Bim1,Bim0.3,Bim0.1,Bim0.03,Bim0.01,Bid100,Bid30,Bid10,Bid3,Bid1,Bid0.3,Bid0.1,Bid0.03,Bid0.01
180,11697,2032,1974,2171,2605,4354,6922,8854,10712,14309,14659,2184,2200,2264,2550,3474,5349,15047,15083,15748
0,1985,1599,2328,2267,1963,1982,2021,2007,1972,1968,1923,2148,2281,2159,2001,1959,1907,1949,1959,1955
5,3164,1664,2491,3198,3252,2985,3068,3065,2973,2963,2920,2106,2448,3067,3212,2963,2888,2974,3006,3003
10,5150,1797,2677,3622,4472,4616,4920,4825,4820,4629,4622,2151,2482,3031,4856,4760,4505,4709,4646,4873
15,7321,1932,2737,3928,5416,6439,6678,6892,6657,6562,6616,2172,2513,2955,5501,6705,6450,6458,6487,6921
20,9058,2007,2724,4073,5823,7778,8313,8808,8422,8268,8390,2173,2541,2873,5462,8460,8095,8013,8254,8607
25,10451,2041,2659,4018,6132,8620,9691,10104,9877,9716,9912,2194,2449,2811,5041,9770,9510,9336,9702,10124
30,11476,2076,2600,3831,6094,9322,10622,11262,11035,11042,11119,2168,2467,2744,4565,10950,10725,10480,10934,11240
35,12409,2085,2496,3616,5930,9705,11296,12083,11888,11869,12113,2124,2415,2693,4147,11614,11620,11340,12021,12235
40,13168,2114,2484,3325,5595,9812,11840,12476,12486,12667,12744,2123,2343,2635,3870,11930,12432,11881,12533,12952
45,13812,2089,2415,3201,5324,9796,12135,12943,13055,13335,13396,2106,2359,2607,3676,11637,12969,12815,13256,13776
50,14302,2097,2384,3085,4970,9908,12195,13185,13413,13693,13992,2095,2308,2560,3531,11165,13488,12836,13653,14194
55,14655,2107,2390,2907,4626,9520,12365,13456,13756,14199,14677,2084,2319,2537,3442,10403,14122,13856,14243,14504
60,14794,2076,2355,2844,4351,9224,12542,13363,14109,14362,15050,2196,2261,2495,3345,9324,14088,13447,14585,14841
65,14874,2090,2320,2826,4244,9096,12139,13519,14249,14649,15421,2152,2284,2486,3212,8511,14363,14194,15019,14934
70,15146,2106,2318,2742,4105,8772,12020,13423,14283,14823,15117,2162,2266,2458,3158,7661,14533,14216,14792,15380
75,15199,2109,2251,2707,3793,8592,11663,13057,14307,14867,15427,2123,2213,2436,3084,7020,14646,14064,15063,15556
80,15733,2180,2274,2675,3680,8508,11525,12870,13892,15031,15865,2129,2216,2405,3033,6456,14794,14367,15301,15674
85,15862,2067,2258,2633,3602,8307,11247,12728,14111,15191,15377,2117,2206,2376,2981,6077,14865,14498,15503,15715
90,15768,2079,2237,2591,3423,8022,11011,12581,14263,15097,15597,2113,2213,2372,2992,5824,14870,14486,15368,15909
95,15909,2059,2219,2562,3326,7896,10860,12342,13576,15147,15873,2097,2196,2365,2896,5584,14914,14547,15401,15957
100,15917,2064,2171,2549,3264,7606,10636,12211,13956,15124,16198,2035,2194,2345,2869,5339,14869,14808,15589,16032
105,15625,2104,2195,2537,3166,7265,10439,11971,13907,15179,16358,2127,2169,2336,2818,5146,14767,14805,15520,16131
110,16128,2052,2184,2518,3143,7275,10278,11881,13729,15211,15738,2082,2169,2321,2808,5018,14609,14853,16019,16129
115,15590,2052,2173,2476,3070,6762,10107,11759,13645,15269,15824,2067,2155,2311,2765,4874,14540,14706,15774,16253
120,15588,2137,2176,2470,3025,6586,9941,11514,13572,15337,15851,2114,2134,2310,2775,4720,14421,14724,15725,16303
125,15855,2089,2148,2440,2995,6381,9774,11520,13461,15291,15852,2027,2156,2311,2719,4604,14065,14825,16231,16331
130,15960,2113,2127,2428,2930,6166,9602,11299,13325,15212,15918,2071,2126,2290,2704,4502,14069,14744,16008,16293
135,15989,2118,2101,2421,2869,5966,9406,11147,13104,15146,16388,2089,2129,2272,2668,4389,13217,14696,15939,16334
140,16088,2046,2092,2389,2867,6221,9183,10938,13006,15181,16479,2108,2119,2250,2659,4343,12724,14709,15890,16113
145,15506,2081,2072,2383,2834,6098,8989,10767,12772,15095,15932,2092,2117,2250,2672,4221,12087,14440,15867,16496
150,16045,2094,2066,2370,2795,5615,8750,10624,12649,15084,16056,2013,2110,2235,2613,4172,11525,14484,16162,16584
155,15671,2034,2086,2348,2748,5422,8523,10391,12451,14968,16118,1909,2106,2224,2642,4088,10911,14605,16270,16123
160,15581,2064,2056,2345,2707,5337,8303,10182,12245,14909,16393,2028,2094,2211,2573,3959,10301,14511,16285,16540
